Station	DD	MM	YYYY	Radn	Tmin	Tmax	RH	Wind	Rain	ETref
'Sabzevar'	21	4	2023	26.65	9.64	28.74	22.02	2.36	0	6.45712850190874
'Sabzevar'	22	4	2023	19.29	14.34	32.27	22.42	3.39	0	7.48150289072961
'Sabzevar'	23	4	2023	13.33	13.86	27.31	37.99	1.98	0.22	4.35680746411068
'Sabzevar'	24	4	2023	22.23	12.03	31.16	31.93	3.87	0.23	7.39609258171629
'Sabzevar'	25	4	2023	20.31	15.47	31.91	24.28	4.04	0	8.07206577155309
'Sabzevar'	26	4	2023	22.43	14.22	31.03	35.85	3.75	0.01	7.16710339826758
'Sabzevar'	27	4	2023	16.44	14.53	27.37	32.47	2.7	0.08	5.51229689801071
'Sabzevar'	28	4	2023	20.43	13.6	29.95	33.14	3.65	0.65	6.88482666854301
'Sabzevar'	29	4	2023	13.29	12.76	27.43	38.75	2.51	0	4.75115378636779
'Sabzevar'	30	4	2023	22.67	15.16	30.44	32.95	1.9	0	5.78652061888737
'Sabzevar'	1	5	2023	17.49	15.93	28.84	31.26	2.37	0.21	5.60293825423831
'Sabzevar'	2	5	2023	24.98	13.37	30.65	32.16	2.57	0.58	6.6395582360907
'Sabzevar'	3	5	2023	18.06	13.04	29.2	36.11	4.06	1	6.66278857615242
'Sabzevar'	4	5	2023	21.58	11.22	26.49	45.86	4.16	0.19	5.97763588053687
'Sabzevar'	5	5	2023	23.1	9.5	21.13	44.74	3.39	1.55	5.10480741937997
'Sabzevar'	6	5	2023	29	8.4	24	32.28	2.83	0	6.13509653259955
'Sabzevar'	7	5	2023	29.61	8.61	26.57	28.61	2.37	0	6.36626101214943
'Sabzevar'	8	5	2023	28.7	9.84	31.49	23.96	2	0	6.77018906122135
'Sabzevar'	9	5	2023	24.39	13.78	33.34	21.24	2.25	0	7.02864094125694
'Sabzevar'	10	5	2023	14.72	17.07	24.88	35.69	2.97	0.29	5.32459596371353
'Sabzevar'	11	5	2023	25.37	14.54	28.75	41.57	2.54	0.03	6.18967427238817
'Sabzevar'	12	5	2023	28.06	12.86	30.59	31.65	2.51	0	6.96709151765315
'Sabzevar'	13	5	2023	26.01	14.25	32.05	27.61	1.94	0	6.557690607409
'Sabzevar'	14	5	2023	20.54	16.33	33.58	23.94	4.18	0.18	8.68386200395727
'Sabzevar'	15	5	2023	26.04	14.29	28.06	39.77	4.24	0.25	7.22843561336719
'Sabzevar'	16	5	2023	16.26	10.42	22.35	46.78	5.55	0.91	5.3930459789641
'Sabzevar'	17	5	2023	30.51	8.45	23.59	37.34	2.35	0	5.86883616493092
'Sabzevar'	18	5	2023	28.73	10.89	28.5	20.59	2.28	0	6.83395902568985
'Sabzevar'	19	5	2023	28.79	13.22	31.98	21.13	2.11	0	7.18228627598207
'Sabzevar'	20	5	2023	18.18	16.96	32.35	24.43	3.6	0	7.7130703559362
'Sabzevar'	21	5	2023	12.23	17.55	30.77	35.81	3.06	0	5.76394882841991
'Sabzevar'	22	5	2023	21.32	18.16	32.75	31.18	2.39	0.21	6.62844289109072
'Sabzevar'	23	5	2023	25.48	18.44	34.11	26.71	2.81	0.26	7.88348752754031
'Sabzevar'	24	5	2023	28.05	17.64	34.58	23.16	2.79	0	8.3204791993455
'Sabzevar'	25	5	2023	27.93	17.85	35.33	20.97	3.12	0	8.88880830497112
'Sabzevar'	26	5	2023	24.57	18.79	34.5	19.49	2.21	0	7.39247967999508
'Sabzevar'	27	5	2023	18.21	19.62	34.51	31.78	2.24	0.16	6.32264200806714
'Sabzevar'	28	5	2023	27.86	16.75	32.92	22.34	3.35	0	8.64520537232278
'Sabzevar'	29	5	2023	29.23	16.85	33.71	19.05	2.52	0	8.13373872779233
'Sabzevar'	30	5	2023	29.59	17.14	35.91	13.98	2.72	0	8.89491178023892
'Sabzevar'	31	5	2023	30.17	18.02	37.5	11.75	2.78	0	9.35915870931111
'Sabzevar'	1	6	2023	21.76	19.29	32.76	13.67	1.93	0	6.69767057679759
'Sabzevar'	2	6	2023	20.86	17.46	32.48	30.95	2.45	0.08	6.62215476459911
'Sabzevar'	3	6	2023	23.9	17.07	34.39	27.14	2.53	0	7.42518476141138
'Sabzevar'	4	6	2023	27.01	18.42	35.41	26.87	2.54	0	7.98026460035098
'Sabzevar'	5	6	2023	30.18	19.38	36.79	20.72	3.19	0.11	9.54305689016176
'Sabzevar'	6	6	2023	25.53	19.37	36.17	17.67	4.09	0	10.1381826845231
'Sabzevar'	7	6	2023	19.01	19.3	36.77	16.63	3.66	0	9.16932408954683
'Sabzevar'	8	6	2023	11.82	18.96	32.97	38.28	4.69	0	7.17067605066624
